,task,n_classes,best_val_auroc,test_auroc_bestval,test_auroc_final,test_auroc,bootstrap_mean,ci_lower,ci_upper,target,difference_pct
exp0,all,71,0.9253,0.9119,0.9153,0.9153,0.915,0.9063,0.9235,0.919,-0.37
exp3,rhythm,12,0.9593,0.9304,0.9311,0.9311,0.9327,0.917,0.9471,0.946,-1.49
